;trade value of zero indicates it cannot be traded

mine				data/models_strat/resource_mine.CAS


type				gold;золото
trade_value			25
item				data/models_strat/resource_gold.CAS
icon				data/ui/resources/resource_gold.tga
has_mine

type				silver;серебро
trade_value			16
item				data/models_strat/resource_silver.CAS
icon				data/ui/resources/resource_silver.tga
has_mine

type				fish;рыба
trade_value			5
item				data/models_strat/resource_fish.CAS
icon				data/ui/resources/resource_fish.tga

type				furs;меха
trade_value			7
item				data/models_strat/resource_fur.CAS
icon				data/ui/resources/resource_fur.tga

type				grain;зерно
trade_value			4
item				data/models_strat/resource_grain.CAS
icon				data/ui/resources/resource_grain.tga

type				timber;лес
trade_value			6
item				data/models_strat/resource_timber.CAS
icon				data/ui/resources/resource_timber.tga

type				iron;железо
trade_value			9
item				data/models_strat/resource_iron.CAS
icon				data/ui/resources/resource_iron.tga
has_mine

type				ivory;драконья кость
trade_value			12
item				data/models_strat/resource_ivory.CAS
icon				data/ui/resources/resource_ivory.tga

type				wine;бриндураз
trade_value			19
item				data/models_strat/resource_brynduraz.CAS
icon				data/ui/resources/resource_brynduraz.tga
has_mine

type				slaves;специи
trade_value			20
item				data/models_strat/resource_spices.CAS
icon				data/ui/resources/resource_spices.tga

type				chocolate;варп камень
trade_value			22
item				data/models_strat/resource_warp.CAS
icon				data/ui/resources/resource_warp.tga
has_mine

type				marble;мрамор
trade_value			10
item				data/models_strat/resource_marble.CAS
icon				data/ui/resources/resource_marble.tga
has_mine

type				textiles;ткани
trade_value			8
item				data/models_strat/resource_textiles.CAS
icon				data/ui/resources/resource_textiles.tga

type				dyes;фарфор
trade_value			11
item				data/models_strat/resource_dye.CAS
icon				data/ui/resources/resource_dyes.tga

type				tobacco;громрил
trade_value			15
item				data/models_strat/resource_gromril.CAS
icon				data/ui/resources/resource_gromril.tga
has_mine

type				silk;пивоварня багмана
trade_value			0
item				data/models_strat/bagmans_brewery.CAS
icon				data/ui/resources/resource_silk.tga

type				sugar;рабы
trade_value			11
item				data/models_strat/resource_slave.CAS
icon				data/ui/resources/resource_slaves.tga

type				sulfur;деревня
trade_value			4
item				data/models_strat/village_1.CAS
icon				data/ui/resources/resource_village.tga

type				tin;олово
trade_value			6
item				data/models_strat/resource_tin.CAS
icon				data/ui/resources/resource_tin.tga
has_mine

type				spices;специи-----------
trade_value			12
item				data/models_strat/resource_spices.CAS
icon				data/ui/resources/honey_pip.tga

type				cotton;хлопок
trade_value			8
item				data/models_strat/resource_cotton.CAS
icon				data/ui/resources/resource_cotton.tga

type				amber;янтарь
trade_value			12
item				data/models_strat/resource_amber.CAS
icon				data/ui/resources/resource_amber.tga
has_mine

type				coal;уголь
trade_value			4
item				data/models_strat/resource_coal.CAS
icon				data/ui/resources/resource_coal.tga
has_mine

type				wool;шерсть
trade_value			6
item				data/models_strat/resource_wool.CAS
icon				data/ui/resources/resource_wool.tga

type				elephants;бивни мамонта
trade_value			8
item				data/models_strat/resource_elephants.CAS
icon				data/ui/resources/resource_elephants.tga

type				camels;стекло
trade_value			12
item				data/models_strat/resource_glass.CAS
icon				data/ui/resources/resource_glass.tga

type				dogs;вино
trade_value			10
item				data/models_strat/resource_wine.CAS
icon				data/ui/resources/resource_wine.tga


; DO NOT ADD THE FOLLOWING RESOURCE TO THE CAMPAIGN MAP. GENERIC RESOURCE USED TO REPRESENT GENERIC TRADE PIP IN TRADE SCROLL
type				generic
trade_value			2
item				data/models_strat/resource_dogs.CAS	; NOT ACTUALLY USED
icon				data/ui/resources/resource_trade_goods.tga
