;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
; Regions list, generated by Geomod
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Great_Hogs_Province
	legion: Great_Hogs
	Great_Hogs
	russia
	Rus_Rebels
	184 153 184
	light
	5
	2
	religions { catholic 100 orthodox 0 islam 0 pagan 0 heretic 0 dwarven 0 chaos 0 vampire 0 dark_elf 0 khemri 0 }
Forge_of_the_Old_Ones_Province
	legion: Forge_of_the_Old_Ones
	Forge_of_the_Old_Ones
	russia
	Rus_Rebels
	116 57 184
	light
	5
	2
	religions { catholic 40 orthodox 0 islam 0 pagan 60 heretic 0 dwarven 0 chaos 0 vampire 0 dark_elf 0 khemri 0 }
Ochness_Province
	legion: Ochness
	Ochness
	russia
	Rus_Rebels
	181 91 102
	light
	5
	2
	religions { catholic 50 orthodox 0 islam 0 pagan 0 heretic 0 dwarven 0 chaos 0 vampire 0 dark_elf 50 khemri 0 }
Isle_of_Wights_Province
	legion: Isle_of_Wights
	Isle_of_Wights
	hungary
	Wallachian_Rebels
	181 91 249
	light
	5
	2
	religions { catholic 20 orthodox 0 islam 0 pagan 0 heretic 0 dwarven 0 chaos 0 vampire 80 dark_elf 0 khemri 0 }
Albion_Province
	legion: Albion
	Albion
	russia
	Rus_Rebels
	113 145 51
	light
	5
	2
	religions { catholic 80 orthodox 0 islam 0 pagan 0 heretic 0 dwarven 0 chaos 20 vampire 0 dark_elf 0 khemri 0 }
Ptorsk_Province
	legion: Ptorsk
	Ptorsk
	russia
	Rus_Rebels
	43 126 21
	light, river
	5
	2
	religions { catholic 0 orthodox 80 islam 0 pagan 0 heretic 0 dwarven 0 chaos 20 vampire 0 dark_elf 0 khemri 0 }
Numas_Province
	legion: Numas
	Numas
	france
	Empire_Rebels
	23 34 98
	river, empire, light
	5
	6
	religions { catholic 10 orthodox 0 islam 0 pagan 0 heretic 50 dwarven 0 chaos 40 vampire 0 dark_elf 0 khemri 0 }
Lahmia_Province
	legion: Lahmia
	Lahmia
	france
	Empire_Rebels
	116 136 124
